"","code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"11","AAP","Advance Auto Parts Inc","240.2","234.8","240.0","700,080","5.4","","2.31","Consumer Services","Other Specialty Stores","16.36","1.52","5.01","0.28","2.02","0.67","960.52M","73.84M","17.73B","143.15 - 243.05"
"12","AAQ.U","Accelerate Acquisition Corp [Aaqc.U]","10.02","10.02","10.02","2,600","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"13","AAQ.W","Accelerate Acquisition Corp WT [Aaqc/W]","0.9400","0.9400","0.9400","500","-0.0197","","2.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"14","AAQC","Accelerate Acquisition Corp Cl A","9.740","9.720","9.740","12,175","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"15","AAT","American Assets Trust","36.02","35.50","35.76","335,992","-0.11","","0.31","Consumer Services","Real Estate Investment Trusts","59.91","20.97","0.66","2.66","2.19","6.15","168.82M","47.18M","1.69B","27.15 - 40.83"
"16","AB","Alliancebernstein Holding LP","51.24","49.56","50.94","381,530","1.09","","2.19","Finance","Investment Managers","12.08","1.07","2.18","7.86","1.68","10.45","N/A","93.54M","4.76B","31.76 - 57.54"
"17","ABB","Abb Ltd ADR","36.81","36.60","36.73","1,290,351","0.01","","0.03","Consumer Durables","Electrical Products","24.43","2.74","1.04","3","4.05","1.62","4.26B","2.13B","78.38B","26.61 - 38.03"
"18","ABBV","Abbvie Inc","126.0","123.7","125.5","6,917,125","1.3","","1.06","","","22.61","1","4.07","2.86","23.76","5.35","11.57B","1.59B","200.02B","101.55 - 124.46"
"19","ABC","Amerisourcebergen Corp","123.5","121.9","123.1","1,218,698","1.4","","1.18","Health Care","Other Pharmaceuticals","19.9","1.63","3.84","1.85","6.76","0.11","2.43B","219.17M","26.99B","94.89 - 129.55"
"20","ABEV","Ambev S.A. ADR","2.850","2.800","2.810","14,363,146","0.030","","1.08","","","26.74","6.79","0.24","2.52","6.62","7","5.62B","15.71B","44.14B","2.38 - 3.95"
"21","ABG","Asbury Automotive Group Inc","173.0","167.2","172.5","291,405","4.9","","2.95","Consumer Durables","Automotive Aftermarket","7.92","0.82","7.69","N/A","4.05","0.2","326.10M","20.85M","3.60B","135.60 - 230.97"
"22","ABM","ABM Industries Inc","45.90","45.22","45.58","265,207","0.20","","0.44","Finance","Diversified Commercial Services","165.2","4.42","0.26","1.61","2.44","0.52","192.60M","65.03M","2.96B","36.31 - 55.48"
"23","ABR","Arbor Realty Trust","18.45","18.08","18.16","1,330,540","0.06","","0.33","Consumer Services","Real Estate Investment Trusts","7.58","1.17","1.09","8.72","0.87","1.79","N/A","61.35M","1.11B","13.48 - 20.74"
"24","ABR-D","Arbor Realty Trust Inc","25.20","25.12","25.20","11,622","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"25","ABR-E","Arbor Realty Trust Inc","25.24","25.14","25.20","5,334","0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"26","ABR-F","Arbor Realty Trust Inc","25.28","25.20","25.25","24,804","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"27","ABT","Abbott Laboratories","134.5","132.9","134.4","4,108,517","1.8","","1.39","Consumer Durables","Major Pharmaceuticals","77.55","1.87","0.71","1.91","3.05","4.08","5.14B","1.74B","233.45B","105.32 - 134.08"
"28","AC","Associated Capital Group Inc","39.94","38.19","39.00","3,695","1.49","","3.97","","","N/A","N/A","N/A","0.54","0.99","27.67","N/A","23.86M","930.69M","30.21 - 44.67"
"29","ACA","Arcosa Inc","55.97","54.73","55.05","104,050","-0.01","","0.02","Finance","Diversified Investments","N/A","0.22","N/A","N/A","N/A","N/A","N/A","35.34M","1.95B","48.18 - 68.46"
"30","ACA.U","Atlantic Coastal Acquisition Corp","10.12","10.11","10.12","322","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"31","ACC","American Campus Communities Inc","55.12","54.30","54.43","1,088,231","-0.16","","0.29","Consumer Services","Real Estate Investment Trusts","86.94","3.01","0.48","4.22","1.6","7.36","379.78M","136.41M","7.42B","40.01 - 55.55"
"32","ACCO","Acco Brands Corp","8.450","8.230","8.230","342,310","-0.190","","2.26","","","26","1.18","0.5","N/A","1.98","0.82","256.30M","108.81M","895.53M","7.72 - 9.77"
"33","ACD.U","Ascendant Digital Acquisition Corp III","10.11","10.10","10.10","160,201","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"34","ACEL","Accel Entertainment Inc","13.10","12.91","12.95","113,181","-0.12","","0.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.82 - 14.10"
"35","ACH","Aluminum Corp of China Ltd ADR","13.76","13.54","13.73","167,538","0.19","","1.40","Basic Industries","Aluminum","81.08","N/A","0.25","N/A","2.22","0.45","2.06B","595.95M","8.18B","7.57 - 23.90"
"36","ACH.W","Archer Aviation Inc WT [Achr.W]","1.630","1.550","1.570","110,165","0.050","","3.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"37","ACHR","Archer Aviation Inc","7.600","7.100","7.310","2,179,324","0.280","","3.98","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"38","ACI","Albertsons Companies Inc Cl A","31.12","30.26","30.70","1,989,259","0.19","","0.62","Energy","Coal Mining","N/A","N/A","N/A","N/A","N/A","0.0063","373.00M","21.29M","653.46M","14.83 - 37.85"
"39","ACI.S","Atlas Crest Investment Corp II [Acii.U]","9.990","9.960","9.990","40,142","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"40","ACI.T","Atlas Crest Investment Corp II WT","0.8900","0.8700","0.8900","14,635","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"41","ACII","Atlas Crest Investment Corp II Cl A","9.790","9.750","9.780","94,617","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"42","ACM","Aecom Technology Corp","73.59","72.29","73.02","790,496","0.02","","0.03","Consumer Services","Military/Government/Technical","21.57","20.15","1.63","N/A","1.48","0.31","790.46M","156.68M","11.44B","46.61 - 75.94"
"43","ACN","Accenture Plc","379.9","373.0","379.4","1,777,224","8.0","","2.15","Miscellaneous","Business Services","26.33","2.24","5.44","1.87","9.8","2.52","5.94B","617.53M","234.32B","241.73 - 374.92"
"44","ACP","Aberdeen Income Credit Strategies","10.39","10.20","10.28","192,630","-0.08","","0.77","Finance","Property Management","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.88 - 12.67"
"45","ACP-A","Aberdeen Income Credit Strategies Fund","26.94","26.87","26.94","407","0.06","","0.22","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"46","ACR","Acres Commercial Realty Corp","13.52","13.45","13.47","32,890","-0.08","","0.59","Consumer Durables","Long-Term Care Facilities","11","N/A","2.17","N/A","N/A","N/A","N/A","35.27K","475.10K","0.00 - 0.00"
"47","ACR-C","Acres Commercial Realty Corp Pfd","25.48","25.36","25.45","6,293","0.06","","0.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"48","ACR-D","Acres Commercial Realty Corp","25.18","25.12","25.14","1,895","-0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"49","ACR.U","Acropolis Infrastructure Acquisition","9.980","9.980","9.980","1,100","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"50","ACR.W","Acropolis Infrastructure Acquisition WT","0.9500","0.9200","0.9500","19,300","-0.0200","","2.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"51","ACRE","Ares Commercial Real Estate Cor","15.08","14.63","14.69","362,559","-0.31","","2.07","","","9.34","2.46","1.39","8.16","0.88","8.16","N/A","28.56M","419.51M","11.16 - 16.98"
"52","ACRO","Acropolis Infrastructure Acquisition","9.700","9.700","9.700","400","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"53","ACV","Allianzgi Diversified Income &","34.35","33.92","34.18","27,203","-0.10","","0.29","Consumer Non-Durables","Package Goods/Cosmetics","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","29.68 - 37.59"
"54","ADC","Agree Realty Corp","68.60","67.65","68.00","1,163,755","-0.05","","0.07","Consumer Services","Real Estate Investment Trusts","21.23","N/A","2.22","4.29","1.69","12.86","84.76M","28.39M","1.93B","61.27 - 75.95"
"55","ADC-A","Agree Realty Corp","24.09","23.71","23.99","43,172","-0.30","","1.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"56","ADCT","Adc Therapeutics Sa","20.99","20.03","20.36","133,566","-0.04","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19.97 - 37.82"
"57","ADE.U","Adit Edtech Acquisition Corp [Adex.U]","10.34","10.32","10.34","2,400","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"58","ADE.W","Adit Edtech Acquisition Corp WT [Adex/W]","0.9500","0.8500","0.9500","54,538","0.0300","","3.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"59","ADEX","Adit Edtech Acquisition Corp","9.910","9.850","9.880","125,912","-0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"60","ADF","Aldel Financial Inc Cl A","11.19","10.22","10.66","49,500","0.46","","4.51","Finance","Closed-End Fund - Equity","N/A","N/A","N/A","8.49","1.1","10.28","N/A","18.50M","197.16M","3.34 - 7.48"
"61","ADF.U","Aldel Financial Inc Units","12.25","11.95","11.97","400","0.77","","6.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"62","ADF.W","Aldel Financial Inc WT","2.500","2.365","2.500","14,800","0.320","","14.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"63","ADM","Archer Daniels Midland","64.08","63.27","63.45","2,239,349","0.17","","0.27","Consumer Non-Durables","Packaged Foods","18.21","N/A","2.37","2.97","1.39","0.39","2.70B","562.57M","35.70B","48.57 - 69.30"
"64","ADNT","Adient Plc","47.92","46.41","47.36","868,679","0.61","","1.30","","","N/A","0.74","N/A","1.32","1.98","0.48","976.00M","93.11M","4.41B","30.47 - 53.17"
"65","ADS","Alliance Data Systems Corp","75.55","72.08","73.14","521,824","-0.29","","0.39","Miscellaneous","Business Services","26.43","1","8.77","0.87","9.06","1.74","1.47B","55.47M","4.06B","65.28 - 128.16"
"66","ADT","ADT Inc","8.660","8.430","8.500","825,199","-0.040","","0.47","","","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","6.73 - 11.77"
"67","ADX","Adams Diversified Equity Fund","19.24","19.08","19.19","121,686","0.08","","0.42","Finance","Closed-End Fund - Debt","5.53","N/A","2.83","N/A","0.91","50.53","N/A","98.47M","1.89B","16.83 - 22.33"
"68","AEE","Ameren Corp","87.78","86.78","87.24","756,549","0.54","","0.62","Public Utilities","Power Generation","21.63","3.13","2.86","2.96","2.08","2.46","2.44B","242.56M","21.16B","69.79 - 90.77"
"69","AEFC","Aegon Funding Company Llc 5.10%","26.48","26.30","26.37","20,430","-0.10","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.92 - 27.63"
"70","AEG","Aegon N.V. ADR","4.560","4.520","4.560","2,668,679","0.000","","0.00","Finance","Life Insurance","6.85","N/A","0.85","5.15","0.42","0.19","3.21B","2.04B","9.32B","3.53 - 5.29"
"71","AEL","American Equity Investment Life","36.82","35.98","36.79","244,331","0.46","","1.27","Finance","Life Insurance","13.86","1.15","2.17","0.79","1.01","0.9","343.94M","89.04M","3.28B","26.21 - 38.43"
"72","AEL-A","American Equity Investment Life Holding","27.61","27.30","27.38","14,202","-0.15","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.26 - 28.75"
"73","AEL-B","American Equity Investment Life Holding","28.32","28.06","28.17","12,167","-0.16","","0.56","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.48 - 29.02"
"74","AEM","Agnico-Eagle Mines Ltd","48.74","47.61","47.67","1,793,630","-0.66","","1.37","Basic Industries","Precious Metals","41.75","1.75","1.09","0.97","2.17","4.76","932.83M","231.18M","11.02B","47.07 - 76.69"
"75","AENZ","Aenza S.A.A. ADR","1.630","1.570","1.590","4,214","-0.030","","1.85","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.14 - 2.97"
"76","AEO","American Eagle Outfitters","27.20","25.64","26.09","3,091,777","-0.88","","3.26","Consumer Services","Clothing/Shoe/Accessory Stores","14.13","41.33","0.97","3.57","2.21","0.68","479.75M","177.33M","4.63B","18.52 - 38.99"
"77","AER","Aercap Holdings N.V.","61.53","59.83","60.55","1,180,650","0.22","","0.36","Technology","Diversified Commercial Services","8.27","0.92","6.34","N/A","0.99","1.69","2.39B","160.60M","9.72B","37.29 - 71.38"
"78","AES","The Aes Corp","24.75","24.26","24.42","3,284,125","-0.13","","0.53","Basic Industries","Electric Utilities: Central","N/A","0.92","N/A","4.45","2.37","0.51","3.58B","660.48M","16.13B","20.52 - 29.07"
"79","AESC","Aes Corp","97.38","96.54","96.74","7,370","-0.81","","0.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"80","AEV.W","Aeva Technologies Inc WT [Aeva/S]","2.500","2.500","2.500","1,049","-0.080","","3.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"81","AEVA","Aeva Technologies Inc","9.350","8.890","8.990","1,231,523","-0.330","","3.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"82","AFB","Alliance National Municipal","15.02","14.84","15.00","51,486","0.13","","0.87","Finance","Closed-End Fund - Debt","N/A","N/A","1.21","N/A","N/A","N/A","N/A","N/A","N/A","13.89 - 15.58"
"83","AFG","American Financial Group","138.3","136.8","138.0","169,510","1.0","","0.76","Finance","Property-Casualty Insurers","11.84","2.79","8.87","1.33","1.75","1.43","1.16B","88.04M","12.15B","79.21 - 146.63"
"84","AFGB","American Financial Group Inc 5.875%","27.01","26.73","26.83","10,041","-0.10","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.49 - 29.04"
"85","AFGC","American Financial Group Inc 5.125%","26.79","26.55","26.55","7,976","-0.19","","0.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.30 - 27.89"
"86","AFGD","American Financial Group Inc 5.625%","28.76","28.53","28.53","8,710","-0.12","","0.42","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.85 - 29.57"
"87","AFGE","American Financial Group Inc 4.500%","26.57","26.57","26.57","178","-0.02","","0.08","","","2.96","N/A","8.87","N/A","0.43","0.36","1.16B","87.83M","2.33B","25.01 - 28.90"
"88","AFI","Armstrong Flooring Inc","2.040","1.960","2.020","91,217","0.050","","2.54","","","679.55","1.47","0.02","N/A","0.69","0.36","62.10M","27.08M","54.71M","1.78 - 6.96"
"89","AFL","Aflac Inc","58.04","57.44","57.84","2,914,542","0.47","","0.82","Finance","Accident &Health Insurance","12.69","0.92","6.61","2.14","1.54","1.46","4.75B","395.28M","22.86B","42.73 - 57.95"
"90","AFT","Apollo Senior Floating Rate Fund Inc","16.28","16.06","16.09","100,954","-0.08","","0.49","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.02 - 16.61"
"91","AFT.U","Afternext Healthtech Acquisition","10.70","10.03","10.06","6,755","-0.58","","5.45","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"92","AFT.W","Afternext Healthtech Acquisition WT","0.8400","0.7300","0.7500","2,653","-0.0299","","3.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"93","AFTR","Afternext Healthtech Acquisition Corp Cl","9.740","9.690","9.690","18,861","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"94","AG","First Majestic Silver","11.04","10.68","10.71","3,703,680","-0.17","","1.56","Industrial Goods","Farm & Construction Machinery","86.03","14.1","0.08","N/A","1.72","3.98","95.14M","165.42M","1.77B","10.45 - 24.01"
"95","AGA.U","African Gold Acquisition Corp [Agac.U]","10.15","10.07","10.10","23,533","-0.02","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"96","AGA.W","African Gold Acquisition Corp WT","0.5500","0.4900","0.5500","34,506","0.0098","","1.81","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"97","AGAC","African Gold Acquisition Corp Cl A","9.810","9.710","9.800","114,724","0.060","","0.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"98","AGCB","Altimeter Growth Corp 2 Cl A","10.020","9.900","9.930","147,581","-0.070","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.76 - 15.21"
"99","AGCO","Agco Corp","119.6","115.2","117.2","802,373","-2.9","","2.44","Capital Goods","Industrial Machinery/Components","31.83","0.99","2.29","0.79","1.95","0.74","604.20M","79.53M","9.32B","88.34 - 158.62"
"100","AGD","Alpine Global Dynamic Dividend Fund","12.09","11.93","11.97","77,876","-0.06","","0.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.66"
"101","AGI","Alamos Gold Inc","7.290","7.030","7.150","3,189,156","-0.060","","0.83","","","N/A","N/A","N/A","0.32","0.93","3.68","153.90M","301.11M","2.15B","6.94 - 9.87"
"102","AGL","Agilon Health Inc","23.25","22.67","22.86","1,743,180","-0.09","","0.39","Public Utilities","Oil/Gas Transmission","15.31","3.65","2.589","3.41","1.67","1.41","626.00M","78.55M","1.80B","34.08 - 43.69"
"103","AGM","Federal Agricultural Mortgage Corp","122.0","120.7","121.5","29,423","-0.3","","0.25","Finance","Finance Companies","10.41","1.6","7.26","1.92","1.67","4.39","N/A","10.60M","1.29B","71.01 - 137.01"
"104","AGM-C","Federal Agricultural Mortgage Corp","28.17","28.17","28.17","100","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.96 - 32.84"
"105","AGM-D","Federal Agricultural Mortgage Corp","27.25","26.88","27.25","13,416","0.26","","0.97","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.13 - 28.45"
"106","AGM-E","Federal Agricultural Mortgage Corp","27.39","27.00","27.00","1,632","-0.31","","1.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.38 - 28.50"
"107","AGM-F","Federal Agricultural Mortgage Corp","26.30","26.27","26.27","1,561","0.07","","0.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.19 - 27.45"
"108","AGM-G","Federal Agricultural Mortgage Corp","26.15","25.86","25.93","17,324","0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"109","AGM.A","Federal Agricultural Mortgage Corp","115.7","115.7","115.7","329","0.2","","0.16","Finance","Finance Companies","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.01 - 124.37"
"110","AGO","Assured Guaranty Ltd","49.01","47.97","48.64","262,209","0.16","","0.33","Finance","Property-Casualty Insurers","4.11","2.52","8.9","1.55","0.65","2.83","N/A","119.08M","5.79B","29.81 - 56.95"
"111","AGR","Avangrid Inc","49.05","48.03","48.21","990,311","-0.98","","1.99","Technology","Semiconductor - Integrated Circuits","23.4","2.9","2.18","3.42","1.03","2.6","1.94B","308.97M","14.90B","44.02 - 55.57"
"112","AGRO","Adecoagro S.A.","7.850","7.620","7.670","624,566","-0.060","","0.78","Consumer Non-Durables","Farming/Seeds/Milling","47.68","0.05","0.22","N/A","1.98","1.33","299.98M","121.07M","928.59M","5.82 - 11.77"
"113","AGS","Playags Inc","6.950","6.570","6.740","145,639","-0.140","","2.03","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.73 - 11.32"
"114","AGTI","Agiliti Inc","20.70","19.64","19.91","266,964","-0.40","","1.97","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"115","AGX","Argan Inc","39.27","37.48","37.51","86,540","-1.00","","2.60","","","12.62","N/A","5.43","1.44","3.13","1.24","131.21M","15.47M","580.45M","38.50 - 55.99"
"116","AHH","Armada Hoffler Properties Inc","14.94","14.74","14.83","168,449","-0.02","","0.13","","","28.81","6.79","0.49","5.46","2.02","2.77","65.61M","62.78M","930.98M","10.51 - 15.64"
"117","AHH-A","Armada Hoffler Pptys Inc [Ahh/Pa]","25.78","25.64","25.78","3,664","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.54 - 28.86"
"118","AHL-C","Aspen Insurance Holdings Ltd [Ahl/Pc]","26.86","26.59","26.61","16,599","-0.19","","0.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.72 - 27.88"
"119","AHL-D","Aspen Insurance Holdings Ltd [Ahl/Pd]","26.83","26.62","26.65","12,714","-0.23","","0.86","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 28.35"
"120","AHL-E","Aspen Insurance Holdings Ltd [Ahl/Pe]","26.58","26.47","26.54","12,861","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.50 - 27.42"
"121","AHT","Ashford Hospitality Trust Inc","10.71","10.13","10.30","967,302","-0.20","","1.90","Consumer Services","Real Estate Investment Trusts","N/A","N/A","N/A","6.95","0.9","0.46","394.52M","97.43M","1.00B","1.82 - 19.79"
"122","AHT-D","Ashford Hospitality TR Inc [Aht/Pd]","26.33","25.32","25.53","11,274","0.73","","2.94","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.82 - 29.15"
"123","AHT-F","Ashford Hospitality TR Inc [Aht/Pf]","25.28","23.98","24.52","11,582","0.88","","3.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.26 - 27.20"
"124","AHT-G","Ashford Hospitality TR Inc [Aht/Pg]","24.50","23.22","23.96","4,023","0.41","","1.72","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.67 - 27.60"
"125","AHT-H","Ashford Hospitality TR Inc [Aht/Ph]","24.44","22.93","24.06","11,492","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.08 - 28.21"
"126","AHT-I","Ashford Hospitality TR Inc [Aht/Pi]","24.31","23.62","23.62","6,827","-0.25","","1.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.18 - 28.65"
"127","AI","C3.Ai Inc Cl A","36.33","32.74","33.64","17,665,192","1.55","","4.83","Finance","Finance/Investors Services","N/A","N/A","N/A","17.38","0.85","6.57","N/A","25.95M","872.96M","27.52 - 183.90"
"128","AIC","Arlington Asset Investment Cor","25.26","25.06","25.06","1,610","-0.08","","0.30","Finance","REIT - Diversified","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.95 - 26.00"
"129","AIF","Apollo Tactical Income Fund Inc","15.42","15.30","15.34","45,641","-0.02","","0.13","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.08 - 16.12"
"130","AIG","American International Group","55.20","54.13","54.39","3,946,888","-0.42","","0.77","Finance","Property-Casualty Insurers","N/A","0.13","N/A","1.97","0.79","1.17","4.99B","903.33M","49.13B","36.77 - 62.54"
"131","AIG-A","American International Group Inc","26.60","26.46","26.49","22,293","-0.14","","0.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.17 - 28.85"
"132","AIN","Albany International Corp","87.70","86.35","87.18","62,641","0.77","","0.89","Basic Industries","Textiles","45.67","2.03","1.27","1.17","3.46","2.27","159.88M","32.07M","2.80B","65.14 - 93.43"
"133","AIO","Virtus Allianzgi Artificial Intel & Tech","27.21","26.92","27.09","43,518","-0.10","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.87 - 29.97"
