"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"ACII","Atlas Crest Investment Corp II Cl A","9.790","9.760","9.780","3,423","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACM","Aecom Technology Corp","74.38","72.78","73.55","683,421","0.53","","0.73","Consumer Services","Military/Government/Technical","21.57","20.15","1.63","N/A","1.48","0.31","790.46M","156.68M","11.44B","46.61 - 75.94"
"ACN","Accenture Plc","381.2","377.3","378.2","1,518,939","-1.3","","0.34","Miscellaneous","Business Services","26.33","2.24","5.44","1.87","9.8","2.52","5.94B","617.53M","234.32B","241.73 - 374.92"
"ACP","Aberdeen Income Credit Strategies","10.29","10.16","10.22","169,074","-0.06","","0.58","Finance","Property Management","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.88 - 12.67"
"ACP-A","Aberdeen Income Credit Strategies Fund","26.94","26.87","26.94","400","0.06","","0.22","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR","Acres Commercial Realty Corp","13.40","12.78","12.79","61,080","-0.68","","5.05","Consumer Durables","Long-Term Care Facilities","11","N/A","2.17","N/A","N/A","N/A","N/A","35.27K","475.10K","0.00 - 0.00"
"ACR-C","Acres Commercial Realty Corp Pfd","25.43","25.40","25.40","2,718","-0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR-D","Acres Commercial Realty Corp","25.18","25.11","25.18","5,852","0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR.U","Acropolis Infrastructure Acquisition","9.980","9.980","9.980","1,100","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR.W","Acropolis Infrastructure Acquisition WT","0.9200","0.9200","0.9200","100","-0.0300","","3.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACRE","Ares Commercial Real Estate Cor","14.68","14.22","14.49","646,013","-0.20","","1.36","","","9.34","2.46","1.39","8.16","0.88","8.16","N/A","28.56M","419.51M","11.16 - 16.98"
"ACRO","Acropolis Infrastructure Acquisition","9.700","9.700","9.700","400","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACV","Allianzgi Diversified Income &","34.26","33.59","33.77","20,563","-0.41","","1.20","Consumer Non-Durables","Package Goods/Cosmetics","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","29.68 - 37.59"
"ADC","Agree Realty Corp","68.80","68.00","68.47","775,917","0.47","","0.69","Consumer Services","Real Estate Investment Trusts","21.23","N/A","2.22","4.29","1.69","12.86","84.76M","28.39M","1.93B","61.27 - 75.95"
"ADC-A","Agree Realty Corp","23.94","23.61","23.75","26,900","-0.24","","1.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADCT","Adc Therapeutics Sa","20.43","18.86","20.26","107,605","-0.10","","0.49","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19.97 - 37.82"
"ADE.U","Adit Edtech Acquisition Corp [Adex.U]","10.30","10.27","10.28","21,600","-0.06","","0.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADE.W","Adit Edtech Acquisition Corp WT [Adex/W]","0.9200","0.8200","0.8700","42,329","-0.0800","","8.42","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADEX","Adit Edtech Acquisition Corp","9.880","9.850","9.860","116,683","-0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADF","Aldel Financial Inc Cl A","11.19","10.22","10.66","49,500","0.46","","4.51","Finance","Closed-End Fund - Equity","N/A","N/A","N/A","8.49","1.1","10.28","N/A","18.50M","197.16M","3.34 - 7.48"
"ADF.U","Aldel Financial Inc Units","12.25","11.95","11.97","400","0.77","","6.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADF.W","Aldel Financial Inc WT","2.500","2.365","2.500","14,800","0.320","","14.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADM","Archer Daniels Midland","64.94","63.71","64.86","1,277,801","1.41","","2.22","Consumer Non-Durables","Packaged Foods","18.21","N/A","2.37","2.97","1.39","0.39","2.70B","562.57M","35.70B","48.57 - 69.30"
"ADNT","Adient Plc","47.40","45.45","46.46","926,101","-0.90","","1.90","","","N/A","0.74","N/A","1.32","1.98","0.48","976.00M","93.11M","4.41B","30.47 - 53.17"
"ADS","Alliance Data Systems Corp","72.47","69.59","70.67","355,021","-2.47","","3.38","Miscellaneous","Business Services","26.43","1","8.77","0.87","9.06","1.74","1.47B","55.47M","4.06B","65.28 - 128.16"
"ADT","ADT Inc","8.420","8.130","8.190","1,309,196","-0.310","","3.65","","","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","6.73 - 11.77"
"ADX","Adams Diversified Equity Fund","19.21","19.02","19.05","96,775","-0.14","","0.73","Finance","Closed-End Fund - Debt","5.53","N/A","2.83","N/A","0.91","50.53","N/A","98.47M","1.89B","16.83 - 22.33"
"AEE","Ameren Corp","88.37","87.18","88.30","420,301","1.06","","1.22","Public Utilities","Power Generation","21.63","3.13","2.86","2.96","2.08","2.46","2.44B","242.56M","21.16B","69.79 - 90.77"
"AEFC","Aegon Funding Company Llc 5.10%","26.46","26.31","26.46","9,176","0.09","","0.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.92 - 27.63"
"AEG","Aegon N.V. ADR","4.540","4.490","4.510","2,910,958","-0.050","","1.10","Finance","Life Insurance","6.85","N/A","0.85","5.15","0.42","0.19","3.21B","2.04B","9.32B","3.53 - 5.29"
"AEL","American Equity Investment Life","36.45","35.72","36.33","151,807","-0.46","","1.25","Finance","Life Insurance","13.86","1.15","2.17","0.79","1.01","0.9","343.94M","89.04M","3.28B","26.21 - 38.43"
"AEL-A","American Equity Investment Life Holding","27.58","27.43","27.48","7,152","0.10","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.26 - 28.75"
"AEL-B","American Equity Investment Life Holding","28.32","28.17","28.20","9,489","0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.48 - 29.02"
"AEM","Agnico-Eagle Mines Ltd","48.99","47.68","48.99","1,907,031","1.32","","2.77","Basic Industries","Precious Metals","41.75","1.75","1.09","0.97","2.17","4.76","932.83M","231.18M","11.02B","47.07 - 76.69"
"AENZ","Aenza S.A.A. ADR","1.570","1.520","1.560","5,005","-0.030","","1.89","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.14 - 2.97"
"AEO","American Eagle Outfitters","26.00","23.46","23.83","5,676,119","-2.26","","8.66","Consumer Services","Clothing/Shoe/Accessory Stores","14.13","41.33","0.97","3.57","2.21","0.68","479.75M","177.33M","4.63B","18.52 - 38.99"
"AER","Aercap Holdings N.V.","60.35","58.63","59.86","750,774","-0.69","","1.14","Technology","Diversified Commercial Services","8.27","0.92","6.34","N/A","0.99","1.69","2.39B","160.60M","9.72B","37.29 - 71.38"
"AES","The Aes Corp","24.35","23.77","23.99","3,268,418","-0.43","","1.76","Basic Industries","Electric Utilities: Central","N/A","0.92","N/A","4.45","2.37","0.51","3.58B","660.48M","16.13B","20.52 - 29.07"
"AESC","Aes Corp","96.20","95.01","95.75","20,219","-0.99","","1.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AEV.W","Aeva Technologies Inc WT [Aeva/S]","2.530","2.320","2.480","12,206","-0.020","","0.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AEVA","Aeva Technologies Inc","9.300","8.780","8.980","1,175,331","-0.010","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFB","Alliance National Municipal","15.02","14.91","14.93","48,098","-0.07","","0.47","Finance","Closed-End Fund - Debt","N/A","N/A","1.21","N/A","N/A","N/A","N/A","N/A","N/A","13.89 - 15.58"
"AFG","American Financial Group","138.1","136.1","137.7","68,198","-0.3","","0.25","Finance","Property-Casualty Insurers","11.84","2.79","8.87","1.33","1.75","1.43","1.16B","88.04M","12.15B","79.21 - 146.63"
"AFGB","American Financial Group Inc 5.875%","27.01","26.84","26.84","5,221","0.00","","0.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.49 - 29.04"
"AFGC","American Financial Group Inc 5.125%","26.67","26.51","26.67","6,987","0.11","","0.43","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.30 - 27.89"
"AFGD","American Financial Group Inc 5.625%","28.68","28.53","28.56","10,514","0.03","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.85 - 29.57"
"AFGE","American Financial Group Inc 4.500%","26.65","26.55","26.55","1,230","-0.02","","0.07","","","2.96","N/A","8.87","N/A","0.43","0.36","1.16B","87.83M","2.33B","25.01 - 28.90"
"AFI","Armstrong Flooring Inc","2.040","1.960","1.990","92,509","-0.030","","1.49","","","679.55","1.47","0.02","N/A","0.69","0.36","62.10M","27.08M","54.71M","1.78 - 6.96"
"AFL","Aflac Inc","57.80","56.95","57.15","2,093,676","-0.69","","1.19","Finance","Accident &Health Insurance","12.69","0.92","6.61","2.14","1.54","1.46","4.75B","395.28M","22.86B","42.73 - 57.95"
"AFT","Apollo Senior Floating Rate Fund Inc","16.18","16.05","16.05","34,357","-0.04","","0.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.02 - 16.61"
"AFT.U","Afternext Healthtech Acquisition","10.23","10.08","10.08","520","0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFT.W","Afternext Healthtech Acquisition WT","0.7900","0.7300","0.7400","111,291","-0.0100","","1.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFTR","Afternext Healthtech Acquisition Corp Cl","9.700","9.670","9.670","1,507","-0.020","","0.21","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AG","First Majestic Silver","10.91","10.56","10.71","2,657,128","0.00","","0.00","Industrial Goods","Farm & Construction Machinery","86.03","14.1","0.08","N/A","1.72","3.98","95.14M","165.42M","1.77B","10.45 - 24.01"
"AGA.U","African Gold Acquisition Corp [Agac.U]","10.15","10.07","10.10","23,500","-0.02","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGA.W","African Gold Acquisition Corp WT","0.5536","0.4900","0.5536","34,500","0.0134","","2.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGAC","African Gold Acquisition Corp Cl A","9.770","9.750","9.770","629","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGCB","Altimeter Growth Corp 2 Cl A","9.920","9.880","9.900","94,678","-0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.76 - 15.21"
"AGCO","Agco Corp","117.4","113.4","114.9","492,967","-2.3","","1.96","Capital Goods","Industrial Machinery/Components","31.83","0.99","2.29","0.79","1.95","0.74","604.20M","79.53M","9.32B","88.34 - 158.62"
"AGD","Alpine Global Dynamic Dividend Fund","11.98","11.86","11.93","39,870","-0.04","","0.33","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.66"
"AGI","Alamos Gold Inc","7.270","7.080","7.190","4,255,552","0.040","","0.56","","","N/A","N/A","N/A","0.32","0.93","3.68","153.90M","301.11M","2.15B","6.94 - 9.87"
"AGL","Agilon Health Inc","23.37","22.45","23.00","1,159,708","0.14","","0.61","Public Utilities","Oil/Gas Transmission","15.31","3.65","2.589","3.41","1.67","1.41","626.00M","78.55M","1.80B","34.08 - 43.69"
"AGM","Federal Agricultural Mortgage Corp","120.9","118.7","120.3","22,224","-1.2","","0.96","Finance","Finance Companies","10.41","1.6","7.26","1.92","1.67","4.39","N/A","10.60M","1.29B","71.01 - 137.01"
"AGM-C","Federal Agricultural Mortgage Corp","27.51","27.51","27.51","201","-0.66","","2.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.96 - 32.84"
"AGM-D","Federal Agricultural Mortgage Corp","27.03","26.84","26.84","1,206","-0.41","","1.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.13 - 28.45"
"AGM-E","Federal Agricultural Mortgage Corp","27.39","27.11","27.38","4,845","0.38","","1.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.38 - 28.50"
"AGM-F","Federal Agricultural Mortgage Corp","26.10","25.85","25.96","25,817","-0.32","","1.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.19 - 27.45"
"AGM-G","Federal Agricultural Mortgage Corp","26.00","25.75","25.75","7,189","-0.18","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGM.A","Federal Agricultural Mortgage Corp","115.7","115.7","115.7","176","0.0","","0.00","Finance","Finance Companies","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.01 - 124.37"
"AGO","Assured Guaranty Ltd","48.61","47.72","47.91","230,262","-0.73","","1.50","Finance","Property-Casualty Insurers","4.11","2.52","8.9","1.55","0.65","2.83","N/A","119.08M","5.79B","29.81 - 56.95"
"AGR","Avangrid Inc","48.67","47.87","48.39","794,005","0.18","","0.37","Technology","Semiconductor - Integrated Circuits","23.4","2.9","2.18","3.42","1.03","2.6","1.94B","308.97M","14.90B","44.02 - 55.57"
"AGRO","Adecoagro S.A.","7.630","7.400","7.500","452,757","-0.170","","2.22","Consumer Non-Durables","Farming/Seeds/Milling","47.68","0.05","0.22","N/A","1.98","1.33","299.98M","121.07M","928.59M","5.82 - 11.77"
"AGS","Playags Inc","6.710","6.220","6.400","103,372","-0.340","","5.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.73 - 11.32"
"AGTI","Agiliti Inc","20.61","19.52","19.75","155,364","-0.16","","0.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGX","Argan Inc","37.51","36.81","37.22","93,493","-0.29","","0.77","","","12.62","N/A","5.43","1.44","3.13","1.24","131.21M","15.47M","580.45M","38.50 - 55.99"
"AHH","Armada Hoffler Properties Inc","15.06","14.72","15.05","205,766","0.22","","1.48","","","28.81","6.79","0.49","5.46","2.02","2.77","65.61M","62.78M","930.98M","10.51 - 15.64"
"AHH-A","Armada Hoffler Pptys Inc [Ahh/Pa]","25.86","25.67","25.77","8,293","-0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.54 - 28.86"
"AHL-C","Aspen Insurance Holdings Ltd [Ahl/Pc]","26.81","26.61","26.75","24,327","0.14","","0.53","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.72 - 27.88"
"AHL-D","Aspen Insurance Holdings Ltd [Ahl/Pd]","26.79","26.66","26.73","6,860","0.08","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 28.35"
"AHL-E","Aspen Insurance Holdings Ltd [Ahl/Pe]","26.54","26.44","26.54","12,951","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.50 - 27.42"
"AHT","Ashford Hospitality Trust Inc","10.150","9.480","9.940","1,442,619","-0.360","","3.50","Consumer Services","Real Estate Investment Trusts","N/A","N/A","N/A","6.95","0.9","0.46","394.52M","97.43M","1.00B","1.82 - 19.79"
"AHT-D","Ashford Hospitality TR Inc [Aht/Pd]","25.50","24.74","25.50","2,487","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.82 - 29.15"
"AHT-F","Ashford Hospitality TR Inc [Aht/Pf]","24.54","23.67","24.54","802","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.26 - 27.20"
"AHT-G","Ashford Hospitality TR Inc [Aht/Pg]","23.76","23.32","23.32","1,907","-0.64","","2.67","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.67 - 27.60"
"AHT-H","Ashford Hospitality TR Inc [Aht/Ph]","24.65","22.65","23.09","5,318","-0.97","","4.03","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.08 - 28.21"
"AHT-I","Ashford Hospitality TR Inc [Aht/Pi]","23.58","23.05","23.05","1,295","-0.57","","2.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.18 - 28.65"
"AI","C3.Ai Inc Cl A","34.15","31.47","32.74","3,848,544","-0.90","","2.68","Finance","Finance/Investors Services","N/A","N/A","N/A","17.38","0.85","6.57","N/A","25.95M","872.96M","27.52 - 183.90"
"AIC","Arlington Asset Investment Cor","25.20","25.16","25.20","529","0.14","","0.56","Finance","REIT - Diversified","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.95 - 26.00"
"AIF","Apollo Tactical Income Fund Inc","15.39","15.30","15.34","30,677","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.08 - 16.12"
"AIG","American International Group","54.30","53.25","53.84","2,790,083","-0.55","","1.01","Finance","Property-Casualty Insurers","N/A","0.13","N/A","1.97","0.79","1.17","4.99B","903.33M","49.13B","36.77 - 62.54"
"AIG-A","American International Group Inc","26.63","26.44","26.52","27,754","0.03","","0.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.17 - 28.85"
"AIN","Albany International Corp","87.08","84.78","86.00","52,010","-1.18","","1.35","Basic Industries","Textiles","45.67","2.03","1.27","1.17","3.46","2.27","159.88M","32.07M","2.80B","65.14 - 93.43"
"AIO","Virtus Allianzgi Artificial Intel & Tech","27.01","26.68","26.74","53,872","-0.35","","1.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.87 - 29.97"
"AIR","AAR Corp","35.53","34.78","35.49","264,105","0.07","","0.20","Capital Goods","Aerospace","23.2","0.9","1.66","0.78","1.42","0.73","134.70M","33.93M","1.20B","30.90 - 45.49"
"AIRC","Apartment Income REIT Corp","54.43","52.20","54.39","440,875","2.11","","4.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","35.99 - 54.55"
"AIT","Applied Industrial Technologies","102.5","101.0","102.2","40,126","-0.5","","0.50","Consumer Durables","Industrial Specialties","19.04","1.7","3.4","1.79","3.42","0.98","214.27M","39.07M","4.01B","70.08 - 109.87"
