"code","name","high","low","close","volume","change_absolute","direction","change_percent","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"ACR.U","Acropolis Infrastructure Acquisition","9.980","9.980","9.980","300","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR.W","Acropolis Infrastructure Acquisition WT","0.8801","0.8801","0.8801","6,100","-0.0002","","0.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACRE","Ares Commercial Real Estate Cor","14.58","14.19","14.20","627,100","-0.16","","1.11","","","9.34","2.46","1.39","8.16","0.88","8.16","N/A","28.56M","419.51M","11.16 - 16.98"
"ACRO","Acropolis Infrastructure Acquisition","9.700","9.700","9.700","400","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACV","Allianzgi Diversified Income &","33.61","33.14","33.40","13,600","-0.31","","0.92","Consumer Non-Durables","Package Goods/Cosmetics","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","29.68 - 37.59"
"ADC","Agree Realty Corp","68.64","67.72","67.75","1,056,900","-0.47","","0.69","Consumer Services","Real Estate Investment Trusts","21.23","N/A","2.22","4.29","1.69","12.86","84.76M","28.39M","1.93B","61.27 - 75.95"
"ADC-A","Agree Realty Corp","23.80","23.38","23.50","20,700","-0.18","","0.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADCT","Adc Therapeutics Sa","20.27","19.02","19.38","194,200","-0.88","","4.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19.97 - 37.82"
"ADE.U","Adit Edtech Acquisition Corp [Adex.U]","10.30","10.27","10.28","21,600","-0.06","","0.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADE.W","Adit Edtech Acquisition Corp WT [Adex/W]","0.9200","0.8097","0.8301","75,100","-0.0499","","5.67","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADEX","Adit Edtech Acquisition Corp","9.880","9.870","9.870","22,800","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADF","Aldel Financial Inc Cl A","11.19","10.22","10.66","49,500","0.46","","4.51","Finance","Closed-End Fund - Equity","N/A","N/A","N/A","8.49","1.1","10.28","N/A","18.50M","197.16M","3.34 - 7.48"
"ADF.U","Aldel Financial Inc Units","12.25","11.95","11.97","400","0.77","","6.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADF.W","Aldel Financial Inc WT","2.500","2.365","2.500","14,800","0.320","","14.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ADM","Archer Daniels Midland","65.71","64.50","64.85","2,111,400","0.21","","0.32","Consumer Non-Durables","Packaged Foods","18.21","N/A","2.37","2.97","1.39","0.39","2.70B","562.57M","35.70B","48.57 - 69.30"
"ADNT","Adient Plc","46.04","44.82","45.34","571,600","-0.40","","0.87","","","N/A","0.74","N/A","1.32","1.98","0.48","976.00M","93.11M","4.41B","30.47 - 53.17"
"ADS","Alliance Data Systems Corp","72.34","69.00","69.46","711,800","-0.35","","0.50","Miscellaneous","Business Services","26.43","1","8.77","0.87","9.06","1.74","1.47B","55.47M","4.06B","65.28 - 128.16"
"ADT","ADT Inc","8.210","7.910","8.040","2,428,100","-0.120","","1.47","","","N/A","N/A","1.7","N/A","N/A","N/A","N/A","N/A","N/A","6.73 - 11.77"
"ADX","Adams Diversified Equity Fund","18.94","18.68","18.83","240,600","-0.14","","0.74","Finance","Closed-End Fund - Debt","5.53","N/A","2.83","N/A","0.91","50.53","N/A","98.47M","1.89B","16.83 - 22.33"
"AEE","Ameren Corp","88.34","87.11","87.19","1,503,700","-0.77","","0.88","Public Utilities","Power Generation","21.63","3.13","2.86","2.96","2.08","2.46","2.44B","242.56M","21.16B","69.79 - 90.77"
"AEFC","Aegon Funding Company Llc 5.10%","26.48","26.32","26.42","17,900","-0.04","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.92 - 27.63"
"AEG","Aegon N.V. ADR","4.585","4.500","4.550","1,912,900","0.050","","1.11","Finance","Life Insurance","6.85","N/A","0.85","5.15","0.42","0.19","3.21B","2.04B","9.32B","3.53 - 5.29"
"AEL","American Equity Investment Life","37.06","35.91","36.57","473,700","0.46","","1.27","Finance","Life Insurance","13.86","1.15","2.17","0.79","1.01","0.9","343.94M","89.04M","3.28B","26.21 - 38.43"
"AEL-A","American Equity Investment Life Holding","27.50","27.35","27.41","8,300","-0.05","","0.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.26 - 28.75"
"AEL-B","American Equity Investment Life Holding","28.14","27.99","28.00","11,700","-0.17","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.48 - 29.02"
"AEM","Agnico-Eagle Mines Ltd","49.78","48.00","49.28","2,317,700","0.51","","1.05","Basic Industries","Precious Metals","41.75","1.75","1.09","0.97","2.17","4.76","932.83M","231.18M","11.02B","47.07 - 76.69"
"AENZ","Aenza S.A.A. ADR","1.540","1.510","1.510","3,100","-0.040","","2.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.14 - 2.97"
"AEO","American Eagle Outfitters","24.13","22.91","23.82","3,752,200","0.26","","1.10","Consumer Services","Clothing/Shoe/Accessory Stores","14.13","41.33","0.97","3.57","2.21","0.68","479.75M","177.33M","4.63B","18.52 - 38.99"
"AER","Aercap Holdings N.V.","60.30","58.85","59.13","1,177,800","-0.62","","1.04","Technology","Diversified Commercial Services","8.27","0.92","6.34","N/A","0.99","1.69","2.39B","160.60M","9.72B","37.29 - 71.38"
"AES","The Aes Corp","24.04","23.51","23.61","5,302,400","-0.31","","1.30","Basic Industries","Electric Utilities: Central","N/A","0.92","N/A","4.45","2.37","0.51","3.58B","660.48M","16.13B","20.52 - 29.07"
"AESC","Aes Corp","95.59","94.43","94.68","6,800","-0.76","","0.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AEV.W","Aeva Technologies Inc WT [Aeva/S]","2.340","2.200","2.330","9,400","-0.150","","6.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AEVA","Aeva Technologies Inc","9.140","8.510","8.740","1,557,900","-0.140","","1.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFB","Alliance National Municipal","15.02","14.92","15.00","27,200","0.02","","0.13","Finance","Closed-End Fund - Debt","N/A","N/A","1.21","N/A","N/A","N/A","N/A","N/A","N/A","13.89 - 15.58"
"AFG","American Financial Group","140.1","137.8","138.3","278,800","1.2","","0.90","Finance","Property-Casualty Insurers","11.84","2.79","8.87","1.33","1.75","1.43","1.16B","88.04M","12.15B","79.21 - 146.63"
"AFGB","American Financial Group Inc 5.875%","26.59","26.41","26.54","9,900","-0.30","","1.13","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.49 - 29.04"
"AFGC","American Financial Group Inc 5.125%","26.66","26.56","26.57","7,100","-0.09","","0.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.30 - 27.89"
"AFGD","American Financial Group Inc 5.625%","28.71","28.42","28.50","8,500","-0.11","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.85 - 29.57"
"AFGE","American Financial Group Inc 4.500%","26.65","26.55","26.55","1,200","-0.02","","0.07","","","2.96","N/A","8.87","N/A","0.43","0.36","1.16B","87.83M","2.33B","25.01 - 28.90"
"AFI","Armstrong Flooring Inc","1.980","1.930","1.930","30,500","-0.040","","2.03","","","679.55","1.47","0.02","N/A","0.69","0.36","62.10M","27.08M","54.71M","1.78 - 6.96"
"AFL","Aflac Inc","57.56","56.01","57.16","4,002,100","0.14","","0.25","Finance","Accident &Health Insurance","12.69","0.92","6.61","2.14","1.54","1.46","4.75B","395.28M","22.86B","42.73 - 57.95"
"AFT","Apollo Senior Floating Rate Fund Inc","16.15","16.06","16.13","43,000","0.05","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.02 - 16.61"
"AFT.U","Afternext Healthtech Acquisition","10.21","10.08","10.08","400","0.00","","0.01","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFT.W","Afternext Healthtech Acquisition WT","0.7600","0.7199","0.7200","7,700","-0.0200","","2.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AFTR","Afternext Healthtech Acquisition Corp Cl","9.690","9.665","9.665","13,800","-0.005","","0.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AG","First Majestic Silver","10.61","10.24","10.36","4,058,400","-0.28","","2.63","Industrial Goods","Farm & Construction Machinery","86.03","14.1","0.08","N/A","1.72","3.98","95.14M","165.42M","1.77B","10.45 - 24.01"
"AGA.U","African Gold Acquisition Corp [Agac.U]","10.12","10.10","10.11","2,700","0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGA.W","African Gold Acquisition Corp WT","0.5536","0.4900","0.5536","34,500","0.0134","","2.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGAC","African Gold Acquisition Corp Cl A","9.735","9.735","9.735","10,900","0.005","","0.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGCB","Altimeter Growth Corp 2 Cl A","9.900","9.880","9.890","106,800","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.76 - 15.21"
"AGCO","Agco Corp","118.4","114.3","116.1","769,100","1.1","","0.92","Capital Goods","Industrial Machinery/Components","31.83","0.99","2.29","0.79","1.95","0.74","604.20M","79.53M","9.32B","88.34 - 158.62"
"AGD","Alpine Global Dynamic Dividend Fund","11.91","11.82","11.84","30,400","-0.07","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.66"
"AGI","Alamos Gold Inc","7.125","6.930","6.990","3,511,700","-0.180","","2.51","","","N/A","N/A","N/A","0.32","0.93","3.68","153.90M","301.11M","2.15B","6.94 - 9.87"
"AGL","Agilon Health Inc","23.25","22.18","22.55","2,869,600","-0.42","","1.83","Public Utilities","Oil/Gas Transmission","15.31","3.65","2.589","3.41","1.67","1.41","626.00M","78.55M","1.80B","34.08 - 43.69"
"AGM","Federal Agricultural Mortgage Corp","120.0","117.3","117.8","42,400","-1.7","","1.46","Finance","Finance Companies","10.41","1.6","7.26","1.92","1.67","4.39","N/A","10.60M","1.29B","71.01 - 137.01"
"AGM-C","Federal Agricultural Mortgage Corp","27.73","27.73","27.73","100","0.22","","0.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.96 - 32.84"
"AGM-D","Federal Agricultural Mortgage Corp","26.95","26.84","26.85","2,300","-0.04","","0.14","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.13 - 28.45"
"AGM-E","Federal Agricultural Mortgage Corp","27.39","26.92","27.39","1,200","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.38 - 28.50"
"AGM-F","Federal Agricultural Mortgage Corp","26.08","25.80","25.93","2,600","0.11","","0.43","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.19 - 27.45"
"AGM-G","Federal Agricultural Mortgage Corp","25.99","25.71","25.80","12,600","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGM.A","Federal Agricultural Mortgage Corp","115.7","115.7","115.7","100","0.0","","0.00","Finance","Finance Companies","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.01 - 124.37"
"AGO","Assured Guaranty Ltd","48.72","47.59","47.84","278,700","0.19","","0.40","Finance","Property-Casualty Insurers","4.11","2.52","8.9","1.55","0.65","2.83","N/A","119.08M","5.79B","29.81 - 56.95"
"AGR","Avangrid Inc","48.76","48.03","48.19","668,100","-0.10","","0.21","Technology","Semiconductor - Integrated Circuits","23.4","2.9","2.18","3.42","1.03","2.6","1.94B","308.97M","14.90B","44.02 - 55.57"
"AGRO","Adecoagro S.A.","7.425","7.160","7.170","920,100","-0.210","","2.85","Consumer Non-Durables","Farming/Seeds/Milling","47.68","0.05","0.22","N/A","1.98","1.33","299.98M","121.07M","928.59M","5.82 - 11.77"
"AGS","Playags Inc","6.580","6.310","6.380","157,400","-0.110","","1.69","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.73 - 11.32"
"AGTI","Agiliti Inc","20.00","18.82","19.32","283,000","-0.33","","1.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AGX","Argan Inc","37.72","36.97","37.13","152,200","0.28","","0.76","","","12.62","N/A","5.43","1.44","3.13","1.24","131.21M","15.47M","580.45M","38.50 - 55.99"
"AHH","Armada Hoffler Properties Inc","15.15","14.55","14.61","637,100","-0.36","","2.40","","","28.81","6.79","0.49","5.46","2.02","2.77","65.61M","62.78M","930.98M","10.51 - 15.64"
"AHH-A","Armada Hoffler Pptys Inc [Ahh/Pa]","26.76","26.00","26.46","2,800","0.59","","2.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.54 - 28.86"
"AHL-C","Aspen Insurance Holdings Ltd [Ahl/Pc]","26.39","26.26","26.36","9,700","-0.38","","1.42","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.72 - 27.88"
"AHL-D","Aspen Insurance Holdings Ltd [Ahl/Pd]","26.52","26.25","26.47","11,900","-0.27","","1.01","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 28.35"
"AHL-E","Aspen Insurance Holdings Ltd [Ahl/Pe]","26.15","25.91","25.92","7,900","-0.56","","2.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.50 - 27.42"
"AHT","Ashford Hospitality Trust Inc","10.310","9.610","9.910","1,216,000","0.070","","0.71","Consumer Services","Real Estate Investment Trusts","N/A","N/A","N/A","6.95","0.9","0.46","394.52M","97.43M","1.00B","1.82 - 19.79"
"AHT-D","Ashford Hospitality TR Inc [Aht/Pd]","25.35","24.25","24.62","7,100","-1.07","","4.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.82 - 29.15"
"AHT-F","Ashford Hospitality TR Inc [Aht/Pf]","24.19","22.84","23.89","500","-0.34","","1.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.26 - 27.20"
"AHT-G","Ashford Hospitality TR Inc [Aht/Pg]","23.65","23.00","23.64","2,200","0.32","","1.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.67 - 27.60"
"AHT-H","Ashford Hospitality TR Inc [Aht/Ph]","23.52","22.52","23.04","13,900","-0.06","","0.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.08 - 28.21"
"AHT-I","Ashford Hospitality TR Inc [Aht/Pi]","23.42","22.73","23.42","2,300","0.29","","1.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.18 - 28.65"
"AI","C3.Ai Inc Cl A","32.92","30.57","31.18","4,812,800","-1.17","","3.62","Finance","Finance/Investors Services","N/A","N/A","N/A","17.38","0.85","6.57","N/A","25.95M","872.96M","27.52 - 183.90"
"AIC","Arlington Asset Investment Cor","25.20","25.16","25.20","500","0.14","","0.56","Finance","REIT - Diversified","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.95 - 26.00"
"AIF","Apollo Tactical Income Fund Inc","15.36","15.26","15.33","52,300","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.08 - 16.12"
"AIG","American International Group","55.08","53.65","54.66","5,064,900","0.82","","1.52","Finance","Property-Casualty Insurers","N/A","0.13","N/A","1.97","0.79","1.17","4.99B","903.33M","49.13B","36.77 - 62.54"
"AIG-A","American International Group Inc","26.55","26.39","26.53","38,700","-0.02","","0.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.17 - 28.85"
"AIN","Albany International Corp","86.73","84.42","84.80","128,600","-0.67","","0.78","Basic Industries","Textiles","45.67","2.03","1.27","1.17","3.46","2.27","159.88M","32.07M","2.80B","65.14 - 93.43"
"AIO","Virtus Allianzgi Artificial Intel & Tech","26.63","26.20","26.32","91,600","-0.31","","1.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.87 - 29.97"
"AIR","AAR Corp","35.60","34.81","34.93","419,400","-0.07","","0.20","Capital Goods","Aerospace","23.2","0.9","1.66","0.78","1.42","0.73","134.70M","33.93M","1.20B","30.90 - 45.49"
